owner_id,eer_inertial,auc_inertial,eer_touch,auc_touch,eer_fusion,auc_fusion,far_fusion,frr_fusion,fusion_w,has_touch
user1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,True
user10,0.0,1.0,0.05555555555555555,0.9814814814814815,0.018518518518518517,0.9938271604938271,0.018518518518484225,0.3333333333222222,0.5,True
user12,0.0,1.0,0.0,0.9999999999999999,0.0,1.0,0.0,0.0,0.5,True
user13,0.05555555555555555,0.9814814814814815,0.018518518518518517,0.9938271604938272,0.0,1.0,0.0,0.0,0.68,True
user14,0.018518518518518517,0.9938271604938272,0.0,1.0,0.0,1.0,0.0,0.0,0.58,True
user15,0.0,1.0,0.1111111111111111,0.9074074074074076,0.0,1.0,0.0,0.0,1.0,True
user16,0.0,1.0,0.037037037037037035,0.9876543209876544,0.0,1.0,0.0,0.0,0.5,True
user18,0.0,1.0,0.18518518518518517,0.9382716049382716,0.0,1.0,0.0,0.0,0.5,True
user19,0.037037037037037035,0.9876543209876543,0.0,1.0,0.0,1.0,0.0,0.0,0.5,True
user2,0.0,1.0,0.6666666666666667,0.45679012345679015,0.0,1.0,0.0,0.0,1.0,True
user20,0.018518518518518517,0.9938271604938271,0.07407407407407407,0.95679012345679,0.0,1.0,0.0,0.0,0.5,True
user21,0.0,1.0,0.09259259259259259,0.9382716049382716,0.0,1.0,0.0,0.0,0.86,True
user3,0.018518518518518517,0.9938271604938271,0.12962962962962962,0.9259259259259259,0.05555555555555555,0.9567901234567902,0.055555555555452676,0.3333333333222222,0.5,True
user4,0.037037037037037035,0.9876543209876543,0.18518518518518517,0.9382716049382716,0.018518518518518517,0.9938271604938271,0.018518518518484225,0.3333333333222222,0.78,True
user5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,True
user6,0.0,1.0,0.037037037037037035,0.9876543209876543,0.0,1.0,0.0,0.0,0.5,True
user7,0.037037037037037035,0.9876543209876543,0.0,1.0,0.0,1.0,0.0,0.0,0.5,True
user8,0.05555555555555555,0.9814814814814814,0.14814814814814814,0.9259259259259259,0.018518518518518517,0.9814814814814814,0.018518518518484225,0.3333333333222222,0.5,True
user9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,True
